servert,return,case,BTC-USD,BTC-EUR,BCH-USD,BCH-EUR,BCH-BTC
1565915369841000.0,1.00004,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915369855000.0,1.00008,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915369871000.0,1.00007,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915369917000.0,1.00011,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915370711000.0,1.00001,3.0,0.0,1.0,0.0,-1.0,1.0
1565915370711000.0,1.00014,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915484222000.0,1.00004,3.0,0.0,1.0,0.0,-1.0,1.0
1565915484763000.0,1.00008,3.0,0.0,1.0,0.0,-1.0,1.0
1565915484790000.0,1.00011,3.0,0.0,1.0,0.0,-1.0,1.0
1565915484790000.0,1.00003,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915484857000.0,1.00015,3.0,0.0,1.0,0.0,-1.0,1.0
1565915484871000.0,1.00018,3.0,0.0,1.0,0.0,-1.0,1.0
1565915484871000.0,1.0001,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915484906000.0,1.00022,3.0,0.0,1.0,0.0,-1.0,1.0
1565915484925000.0,1.00026,3.0,0.0,1.0,0.0,-1.0,1.0
1565915484925000.0,1.00017,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915485000000.0,1.00014,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915485950000.0,1.00029,3.0,0.0,1.0,0.0,-1.0,1.0
1565915485950000.0,1.00021,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915485273000.0,1.00011,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915485273000.0,1.00007,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915485594000.0,1.00004,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915485599000.0,1.00018,3.0,0.0,1.0,0.0,-1.0,1.0
1565915485948000.0,1.00033,3.0,0.0,1.0,0.0,-1.0,1.0
1565915485948000.0,1.00018,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915485957000.0,1.00026,3.0,0.0,1.0,0.0,-1.0,1.0
1565915485961000.0,1.00036,3.0,0.0,1.0,0.0,-1.0,1.0
1565915485961000.0,1.00022,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915485969000.0,1.00029,3.0,0.0,1.0,0.0,-1.0,1.0
1565915485969000.0,1.00014,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486100000.0,1.0004,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486100000.0,1.00025,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486190000.0,1.00043,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486190000.0,1.00029,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486340000.0,1.00011,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486380000.0,1.00047,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486380000.0,1.00032,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486620000.0,1.0005,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486620000.0,1.00036,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486780000.0,1.00054,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486780000.0,1.00039,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486105000.0,1.00026,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486105000.0,1.00029,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486105000.0,1.00014,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486120000.0,1.00057,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486120000.0,1.00043,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486143000.0,1.00061,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486143000.0,1.00046,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486183000.0,1.00064,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486183000.0,1.0005,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486296000.0,1.00068,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486296000.0,1.00053,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486535000.0,1.00025,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915486607000.0,1.00026,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486619000.0,1.00029,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486675000.0,1.00033,3.0,0.0,1.0,0.0,-1.0,1.0
