time_period,period_end_time,high,low,last,volume,spread,midpoint,liquidity_bid,liquidity_ask,volatility_mid_1min,volatility_mid_3min,volatility_last_1min,volatility_last_3min
87.0,5220000000.0,284.16,284.16,284.16,0.0,0.589999999999975,283.975,235.56645831999998,32.21252194,0.0008302852005989254,0.0008823011378876682,0.0014179697637494272,0.0017717336149737591
88.0,5280000000.0,284.16,284.16,284.16,0.0,0.660000000000025,283.72,165.10045832,30.15550589,0.0007898682051768808,0.0009714974746164058,0.0014179697637494272,0.0017854470879538013
89.0,5340000000.0,284.16,284.16,284.16,0.0,0.7899999999999636,283.935,236.10534951,25.377521939999998,0.0006268875344871507,0.0009440291352306115,0.0013909814127069956,0.001867837047807659
90.0,5400000000.0,284.16,284.16,284.16,0.0,0.75,284.095,152.69245832,22.48536322,0.0006549790236797871,0.0009385430415228315,0.0011777966102153965,0.0016266062756678105
91.0,5460000000.0,284.16,284.16,284.16,0.0,0.7799999999999727,284.37,151.85768748,30.78613406,0.0006686672747704484,0.0009285651066843594,0.0011731184179319437,0.001344998435439442
92.0,5520000000.0,284.16,284.16,284.16,0.0,0.8100000000000023,284.20500000000004,155.27745832000002,31.72036322,0.0007571470242191411,0.0013335121136245852,0.0011731184179319437,0.0011807854460562936
93.0,5580000000.0,284.16,284.16,284.16,0.0,1.1200000000000045,284.38,316.34934950999985,36.14347437,0.0007439791909536765,0.0013396901972947005,0.0011731184179319437,0.001178204336605592
94.0,5640000000.0,284.35,284.35,284.35,2.4,1.1800000000000068,284.41999999999996,384.14734950999986,106.96747437,0.0007062404060931058,0.0014183252797216517,0.0011731184179319437,0.001178204336605592
95.0,5700000000.0,284.35,284.35,284.35,0.0,1.1200000000000045,284.36,392.1653495099999,18.75547437,0.0007081774541939585,0.0014232478215983467,0.0011883246493479339,0.001189790112550646
96.0,5760000000.0,284.35,284.35,284.35,0.0,0.6899999999999977,284.265,231.53345831999997,27.422363219999998,0.0006746800460460172,0.0013397795571965015,0.0007852187060492826,0.0008431963883716474
97.0,5820000000.0,284.35,284.35,284.35,0.0,1.1399999999999864,284.37,388.7893495099999,110.72947437,0.0006812069393087883,0.0013207472601159983,0.00020059121621621382,0.0008647745039436385
98.0,5880000000.0,284.41,284.41,284.41,0.3363622,0.8400000000000318,284.01,318.6963495099999,31.14800102,0.0005890298694212926,0.0011627017683061044,0.00020059121621621382,0.000857869749255891
99.0,5940000000.0,284.41,284.41,284.41,0.0,1.5,284.38,443.2990099799998,156.28747436999998,0.0006599059091996618,0.00101186688876294,0.00020352459878715095,0.0002990449384856852
100.0,6000000000.0,284.41,284.41,284.41,0.0,0.7300000000000182,284.055,150.68245832,25.64977186,0.0007305087368494537,0.0008918119645033363,0.00020352459878715095,0.00028996433561799404
101.0,6060000000.0,284.41,284.41,284.41,0.0,0.7800000000000296,284.16999999999996,155.60745832,26.584001020000002,0.0008105056231320223,0.0009993203337867475,0.00020352459878715095,0.0002789986967890685
102.0,6120000000.0,284.41,284.41,284.41,0.0,1.4500000000000455,284.505,447.49157097999995,157.28547437,0.0007582150293354426,0.000748595321030664,0.00020352459878715095,0.00027899869678906853
103.0,6180000000.0,284.41,284.41,284.41,0.0,0.8100000000000023,284.245,153.46545831999998,26.584001020000002,0.0008209161788048875,0.0007029118736875191,0.00020352459878715095,0.0002789986967890685
104.0,6240000000.0,284.41,284.41,284.41,0.0,1.150000000000034,284.475,317.1063495099999,123.02500102,0.000853514310179324,0.000662189578938347,0.00020352459878715095,0.0002789986967890685
105.0,6300000000.0,284.41,284.41,284.41,0.0,1.079999999999984,284.23,393.18034951,31.14800102,0.0008909618938366013,0.0007380524737479632,6.330226833128426e-05,0.00025288678827082385
106.0,6360000000.0,284.41,284.41,284.41,0.0,1.4300000000000068,284.135,443.06334950999997,124.87800102,0.000928371303855023,0.0007803983383058159,6.330226833128426e-05,0.00020278477121722435
107.0,6420000000.0,284.41,284.41,284.41,0.0,0.8600000000000136,283.94,309.75934950999994,34.577474370000004,0.0009283760581796378,0.0007796779189771977,6.330226833128426e-05,9.669581209683868e-05
108.0,6480000000.0,284.41,284.41,284.41,0.0,0.7999999999999545,283.69,320.4673495099999,46.47500102,0.0009352151673312644,0.0009512821995501156,6.330226833128426e-05,9.669581209683868e-05
109.0,6540000000.0,284.41,284.41,284.41,0.0,0.7599999999999909,283.69,321.98634950999985,44.07500102,0.0008955621010514548,0.0010380239613568877,0.0,8.440302444171235e-05
110.0,6600000000.0,284.41,284.41,284.41,0.0,0.8700000000000045,283.785,323.05548382999996,35.746990170000004,0.0007655524187399848,0.0010703737686573681,0.0,6.330226833128426e-05
111.0,6660000000.0,284.41,284.41,284.41,0.0,0.7099999999999795,283.645,317.1138653099998,42.25350077,0.0007187076103973069,0.0010519169747241475,0.0,0.0
